Month,Port,Grade,Tonnes,Value
2024-01,Luanda,Raw,169,73882.62
2024-01,Luanda,Refined,113,72230.19
2024-01,Luanda,Brown,94,66497.61
2024-01,Luanda,Specialty,44,49345.95
2024-01,Lobito,Raw,103,45042.37
2024-01,Lobito,Refined,70,45514.62
2024-01,Lobito,Brown,54,37116.96
2024-01,Lobito,Specialty,26,29980.63
2024-01,Namibe,Brown,32,22666.3
2024-01,namibe,Raw,54,24430.15
2024-01,NMB,Refined,40,25230.14
2024-01,NMB,Specialty,14,15767.19
2024-01,Cabinda,Raw,47,20942.64
2024-01,Cabinda,Refined,30,19028.16
2024-01,Cabinda,Brown,25,17608.91
2024-01,Cabinda,Specialty,12,13990.22
2024-02,Luanda,Raw,167,77283.28
2024-02,Luanda,Refined,115,74983.4
2024-02,Luanda,Brown,95,66972.89
2024-02,Luanda,Specialty,44,50834.84
2024-02,Lobito,Raw,106,46400.15
2024-02,Lobito,Refined,71,45566.82
2024-02,Lobito,Brown,54,37193.97
2024-02,Lobito,Specialty,25,28367.0
2024-02,Namibe,Raw,56,24995.63
2024-02,Namibe,Refined,38,24269.49
2024-02,Namibe,Brown,29,20831.85
2024-02,Namibe,Specialty,14,16205.42
2024-02,Cabinda,Raw,43,19616.02
2024-02,Cabinda,Refined,30,19358.96
2024-02,Cabinda,Brown,26,18352.88
2024-02,Cabinda,Specialty,11,12790.12
2024-03,Luanda,Raw,173,79139.2
2024-03,Luanda,Refined,113,71387.97
2024-03,Luanda,Brown,90,62122.06
2024-03,Luanda,Specialty,42,49583.55
2024-03,Lobito,Raw,109,48504.6
2024-03,Lobito,Refined,75,48444.72
2024-03,Lobito,Brown,60,
2024-03,Lobito,Specialty,26,29445.45
2024-03,Namibe,Brown,29,19958.13
2024-03,namibe,Raw,54,23954.08
2024-03,namibe,Refined,38,25289.57
2024-03,NMB,Specialty,15,17259.86
2024-03,Cabinda,Raw,43,18824.2
2024-03,Cabinda,Refined,30,19649.11
2024-03,Cabinda,Brown,26,18115.0
2024-03,Cabinda,Specialty,11,12560.15
2024-04,Luanda,Raw,177,79789.14
2024-04,Luanda,Refined,124,82344.73
2024-04,Luanda,Brown,87,61706.52
2024-04,Luanda,Specialty,45,51864.79
2024-04,Lobito,Raw,102,46288.21
2024-04,Lobito,Refined,70,45321.91
2024-04,Lobito,Brown,57,40986.44
2024-04,Lobito,Specialty,29,32876.54
2024-04,Namibe,Raw,53,23390.15
2024-04,Namibe,Refined,39,25913.56
2024-04,NMB,Brown,29,20469.24
2024-04,NMB,Specialty,14,15764.64
2024-04,Cabinda,Raw,46,20748.91
2024-04,Cabinda,Refined,33,21489.07
2024-04,Cabinda,Brown,23,15930.13
2024-04,Cabinda,Specialty,11,12975.69
2024-05,Luanda,Raw,174,79858.16
2024-05,Luanda,Refined,115,72767.29
2024-05,Luanda,Brown,96,69002.1
2024-05,Luanda,Specialty,42,48259.4
2024-05,Lobito,Raw,100,45703.63
2024-05,Lobito,Refined,77,48934.06
2024-05,Lobito,Brown,58,40721.32
2024-05,Lobito,Specialty,27,31743.84
2024-05,Namibe,Raw,52,22995.36
2024-05,NAMIBE,Refined,37,24381.79
2024-05,NAMIBE,Brown,28,19378.58
2024-05,NAMIBE,Specialty,15,17405.12
2024-05,Cabinda,Raw,45,20271.35
2024-05,Cabinda,Refined,31,19817.16
2024-05,Cabinda,Brown,25,17592.72
2024-05,Cabinda,Specialty,12,
2024-06,Luanda,Raw,158,71659.29
2024-06,Luanda,Refined,115,76568.31
2024-06,Luanda,Brown,96,65469.7
2024-06,Luanda,Specialty,44,51113.02
2024-06,Lobito,Raw,102,44887.39
2024-06,Lobito,Refined,79,51568.88
2024-06,Lobito,Brown,58,41293.33
2024-06,Lobito,Specialty,30,33859.15
2024-06,Namibe,Brown,29,20511.16
2024-06,Namibe,Specialty,15,16834.36
2024-06,namibe,Refined,36,23353.7
2024-06,NMB,Raw,49,21958.78
2024-06,Cabinda,Raw,45,20054.75
2024-06,Cabinda,Refined,34,21766.72
2024-06,Cabinda,Brown,24,16748.2
2024-06,Cabinda,Specialty,12,13616.64
2024-07,Luanda,Raw,162,74751.36
2024-07,Luanda,Refined,118,78362.93
2024-07,Luanda,Brown,93,63344.6
2024-07,Luanda,Specialty,49,57486.11
2024-07,Lobito,Raw,112,51689.33
2024-07,Lobito,Refined,78,49684.92
2024-07,Lobito,Brown,58,39902.69
2024-07,Lobito,Specialty,29,32466.83
2024-07,Namibe,Refined,35,23137.76
2024-07,Namibe,Specialty,15,17762.76
2024-07,namibe,Brown,28,19509.46
2024-07,NAMIBE,Raw,50,23155.17
2024-07,Cabinda,Raw,46,20971.26
2024-07,Cabinda,Refined,31,19904.22
2024-07,Cabinda,Brown,27,18989.79
2024-07,Cabinda,Specialty,13,15172.43
2024-08,Luanda,Raw,158,71459.1
2024-08,Luanda,Refined,119,78986.97
2024-08,Luanda,Brown,89,64022.39
2024-08,Luanda,Specialty,44,49646.16
2024-08,Lobito,Raw,107,48656.19
2024-08,Lobito,Refined,73,46367.82
2024-08,Lobito,Brown,62,42739.14
2024-08,Lobito,Specialty,30,34747.12
2024-08,Namibe,Refined,36,24010.33
2024-08,NAMIBE,Specialty,14,15999.33
2024-08,NMB,Raw,50,22612.96
2024-08,NMB,Brown,27,19145.16
2024-08,Cabinda,Raw,47,20896.2
2024-08,Cabinda,Refined,32,21114.33
2024-08,Cabinda,Brown,24,16757.95
2024-08,Cabinda,Specialty,14,16579.23
2024-09,Luanda,Raw,158,69876.32
2024-09,Luanda,Refined,157,104702.85
2024-09,Luanda,Brown,97,69445.15
2024-09,Luanda,Specialty,47,52940.07
2024-09,Lobito,Raw,111,50560.01
2024-09,Lobito,Refined,104,69576.22
2024-09,Lobito,Brown,60,40759.71
2024-09,Lobito,Specialty,31,
2024-09,Namibe,Refined,46,29210.08
2024-09,Namibe,Specialty,14,16201.27
2024-09,namibe,Raw,50,23092.56
2024-09,NAMIBE,Brown,26,18258.12
2024-09,Cabinda,Raw,47,20773.86
2024-09,Cabinda,Refined,45,28835.79
2024-09,Cabinda,Brown,26,18642.63
2024-09,Cabinda,Specialty,14,15706.16
2024-10,Luanda,Raw,165,73255.11
2024-10,Luanda,Refined,152,100407.19
2024-10,Luanda,Brown,94,64860.2
2024-10,Luanda,Specialty,50,57678.3
2024-10,Lobito,Raw,106,46296.67
2024-10,Lobito,Refined,98,65164.23
2024-10,Lobito,Brown,62,43518.72
2024-10,Lobito,Specialty,32,36982.18
2024-10,Namibe,Raw,46,20237.29
2024-10,Namibe,Brown,28,20024.19
2024-10,NAMIBE,Refined,46,30615.77
2024-10,NMB,Specialty,15,16949.93
2024-10,Cabinda,Raw,45,19767.39
2024-10,Cabinda,Refined,46,30589.14
2024-10,Cabinda,Brown,25,17626.69
2024-10,Cabinda,Specialty,13,15335.6
2024-11,Luanda,Raw,174,80537.22
2024-11,Luanda,Refined,169,112363.91
2024-11,Luanda,Brown,88,62474.34
2024-11,Luanda,Specialty,48,56626.86
2024-11,Lobito,Raw,111,51041.1
2024-11,Lobito,Refined,108,69217.79
2024-11,Lobito,Brown,62,42379.48
2024-11,Lobito,Specialty,33,38766.52
2024-11,Namibe,Raw,46,21093.2
2024-11,Namibe,Refined,46,29550.51
2024-11,Namibe,Specialty,14,15803.56
2024-11,namibe,Brown,28,19279.65
2024-11,Cabinda,Raw,45,20692.69
2024-11,Cabinda,Refined,48,
2024-11,Cabinda,Brown,26,18090.45
2024-11,Cabinda,Specialty,14,16134.98
2024-12,Luanda,Raw,176,77372.1
2024-12,Luanda,Refined,128,81595.41
2024-12,Luanda,Brown,98,67634.66
2024-12,Luanda,Specialty,47,53837.79
2024-12,Lobito,Raw,110,48946.62
2024-12,Lobito,Refined,79,51385.19
2024-12,Lobito,Brown,59,41489.79
2024-12,Lobito,Specialty,31,36096.59
2024-12,Namibe,Raw,44,20305.58
2024-12,Namibe,Refined,34,22390.96
2024-12,Namibe,Specialty,14,15684.59
2024-12,namibe,Brown,27,19093.49
2024-12,Cabinda,Raw,48,21379.94
2024-12,Cabinda,Refined,33,21897.9
2024-12,Cabinda,Brown,27,18673.57
2024-12,Cabinda,Specialty,13,14867.83
2025-01,Luanda,Raw,165,73339.64
2025-01,Luanda,Refined,116,75040.1
2025-01,Luanda,Brown,98,69329.84
2025-01,Luanda,Specialty,53,61372.44
2025-01,Lobito,Raw,105,47385.9
2025-01,Lobito,Refined,73,46843.34
2025-01,Lobito,Brown,60,42201.56
2025-01,Lobito,Specialty,33,37870.28
2025-01,Namibe,Specialty,14,16114.93
2025-01,namibe,Raw,46,20344.42
2025-01,namibe,Brown,27,18525.43
2025-01,NAMIBE,Refined,34,22631.97
2025-01,Cabinda,Raw,48,21386.4
2025-01,Cabinda,Refined,35,23092.8
2025-01,Cabinda,Brown,27,18587.74
2025-01,Cabinda,Specialty,14,15640.59
2025-02,Luanda,Raw,162,72791.25
2025-02,Luanda,Refined,127,80434.22
2025-02,Luanda,Brown,92,64901.41
2025-02,Luanda,Specialty,49,57013.87
