Month,Region,Category,Units,Revenue
2024-01,West,Apparel,965,44404.65
2024-01,West,Footwear,595,32088.2
2024-01,West,Equipment,471,33932.33
2024-01,West,Accessories,400,19411.85
2024-01,Central,Apparel,729,33665.95
2024-01,Central,Footwear,385,25103.15
2024-01,Central,Equipment,439,23221.13
2024-01,Central,Accessories,220,14677.17
2024-01,East,Apparel,545,37385.89
2024-01,East,Footwear,723,32706.09
2024-01,E,Equipment,432,31516.57
2024-01,EAST,Accessories,312,15972.83
2024-01,South,Apparel,470,27504.35
2024-01,South,Footwear,368,18003.56
2024-01,South,Equipment,292,20213.53
2024-01,South,Accessories,150,11144.97
2024-02,West,Apparel,436,36623.45
2024-02,West,Footwear,494,33111.59
2024-02,West,Equipment,500,34879.89
2024-02,West,Accessories,295,20080.02
2024-02,Central,Apparel,640,29962.72
2024-02,Central,Footwear,449,25403.94
2024-02,Central,Equipment,437,23729.28
2024-02,Central,Accessories,243,13641.3
2024-02,East,Apparel,563,33556.56
2024-02,E,Footwear,556,29700.31
2024-02,East,Equipment,340,28032.69
2024-02,East,Accessories,250,17323.19
2024-02,South,Apparel,267,19814.97
2024-02,South,Footwear,307,18463.34
2024-02,South,Equipment,297,20957.9
2024-02,South,Accessories,153,11047.56
2024-03,West,Apparel,516,39237.9
2024-03,West,Footwear,700,32414.79
2024-03,West,Equipment,571,31828.22
2024-03,West,Accessories,222,18336.65
2024-03,Central,Apparel,543,31258.2
2024-03,Central,Footwear,460,27975.47
2024-03,Central,Equipment,447,
2024-03,Central,Accessories,268,14682.6
2024-03,EAST,Apparel,590,32736.93
2024-03,East,Footwear,379,30694.63
2024-03,EAST,Equipment,530,28520.39
2024-03,east,Accessories,288,18845.78
2024-03,South,Apparel,419,19667.46
2024-03,South,Footwear,263,18431.22
2024-03,South,Equipment,330,20404.14
2024-03,South,Accessories,172,10361.58
2024-04,West,Apparel,616,40759.24
2024-04,West,Footwear,477,37868.62
2024-04,West,Equipment,408,30111.43
2024-04,West,Accessories,315,20943.02
2024-04,Central,Apparel,396,27986.03
